sample_name	condition	project	batch
2989R	tumor	OHSU-CNL	1
2424R	tumor	OHSU-CNL	1
4069R	tumor	OHSU-CNL	1
3784R	tumor	OHSU-CNL	1
3653R	tumor	OHSU-CNL	1
3196R	tumor	OHSU-CNL	1
1351R	tumor	OHSU-CNL	1
4807R	tumor	OHSU-CNL	1
4932R	tumor	OHSU-CNL	1
4316R	tumor	OHSU-CNL	1
1476R	tumor	OHSU-CNL	1
3976R	tumor	OHSU-CNL	1
3036R	tumor	OHSU-CNL	1
4037R	tumor	OHSU-CNL	1
3147R	tumor	OHSU-CNL	1
4769R	tumor	OHSU-CNL	1
4236R	tumor	OHSU-CNL	1
3037R	tumor	OHSU-CNL	1
3504R	tumor	OHSU-CNL	1
4586R	tumor	OHSU-CNL	1
TARGET-40-PAKZZK-01A-01R	tumor	TARGET-OS	2
TARGET-40-PALECC-01A-01R	tumor	TARGET-OS	2
TARGET-40-PALFYN-01A-01R	tumor	TARGET-OS	2
TARGET-40-PARDAX-01A-01R	tumor	TARGET-OS	2
TARGET-40-0A4I9K-01A-01R	tumor	TARGET-OS	2
TARGET-40-PARBGW-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAPKWD-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAKUZU-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAKXLD-01A-01R	tumor	TARGET-OS	2
TARGET-40-PALKDP-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAVALD-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAPFLB-01A-01R	tumor	TARGET-OS	2
TARGET-40-PANXSC-01A-01R	tumor	TARGET-OS	2
TARGET-40-PATMPU-01A-01R	tumor	TARGET-OS	2
TARGET-40-0A4I0Q-01A-01R	tumor	TARGET-OS	2
TARGET-40-PATKSS-01A-01R	tumor	TARGET-OS	2
TARGET-40-PATJVI-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAMRHD-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAMYYJ-01A-01R	tumor	TARGET-OS	2
TARGET-40-PAMLKS-01A-01R	tumor	TARGET-OS	2
TCGA-KL-8337-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KM-8441-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KO-8414-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KN-8432-11A-01R-2315-07	normal	TCGA-KICH	3
TCGA-KN-8432-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KL-8331-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KL-8336-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KL-8336-11A-01R-2315-07	normal	TCGA-KICH	3
TCGA-KN-8418-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KO-8410-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KL-8327-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KL-8333-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KL-8326-11A-01R-2315-07	normal	TCGA-KICH	3
TCGA-KL-8326-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KN-8431-11A-01R-2315-07	normal	TCGA-KICH	3
TCGA-KN-8431-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KL-8324-11A-01R-2315-07	normal	TCGA-KICH	3
TCGA-KL-8324-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KO-8409-01A-11R-2315-07	tumor	TCGA-KICH	3
TCGA-KO-8417-01A-11R-2315-07	tumor	TCGA-KICH	3
