sample_name	condition	batch
GSM109815	normal	1
GSM109816	normal	1
GSM109817	normal	1
GSM109828	normal	1
GSM109829	normal	1
GSM109830	normal	1
GSM109831	normal	1
GSM150190	endometriosis	2
GSM150191	endometriosis	2
GSM150192	endometriosis	2
GSM150193	endometriosis	2
GSM150194	endometriosis	2
GSM150195	endometriosis	2
GSM150196	normal	2
GSM150197	normal	2
GSM150198	normal	2
GSM150199	normal	2
GSM150201	normal	2
GSM150202	endometriosis	2
GSM150203	endometriosis	2
GSM150204	endometriosis	2
GSM150205	endometriosis	2
GSM150206	endometriosis	2
GSM150207	endometriosis	2
GSM150208	normal	2
GSM150209	normal	2
GSM150210	normal	2
GSM150211	endometriosis	2
GSM150212	endometriosis	2
GSM150213	endometriosis	2
GSM150214	endometriosis	2
GSM150215	endometriosis	2
GSM150216	endometriosis	2
GSM150217	endometriosis	2
GSM150218	endometriosis	2
GSM150219	endometriosis	2
GSM150220	normal	2
GSM150221	normal	2
GSM150222	normal	2
GSM150223	normal	2
GSM150224	normal	2
GSM150225	normal	2
GSM150226	normal	2
GSM150227	normal	2
GSM1256653	endometriosis	4
GSM1256654	endometriosis	4
GSM1256655	endometriosis	4
GSM1256656	endometriosis	4
GSM1256657	endometriosis	4
GSM1256658	endometriosis	4
GSM1256659	endometriosis	4
GSM1256660	endometriosis	4
GSM1256661	endometriosis	4
GSM1256662	endometriosis	4
GSM1256663	endometriosis	4
GSM1256664	endometriosis	4
GSM1256665	endometriosis	4
GSM1256666	endometriosis	4
GSM1256667	endometriosis	4
GSM1256668	endometriosis	4
GSM1256669	endometriosis	4
GSM1256670	endometriosis	4
GSM1256671	endometriosis	4
GSM1256672	endometriosis	4
GSM1256673	endometriosis	4
GSM1256674	endometriosis	4
GSM1256675	endometriosis	4
GSM1256676	endometriosis	4
GSM1256677	endometriosis	4
GSM1256678	endometriosis	4
GSM1256679	endometriosis	4
GSM1256680	endometriosis	4
GSM1256681	endometriosis	4
GSM1256682	endometriosis	4
GSM1256683	endometriosis	4
GSM1256684	endometriosis	4
GSM1256685	endometriosis	4
GSM1256686	endometriosis	4
GSM1256687	endometriosis	4
GSM1256688	endometriosis	4
GSM1256689	endometriosis	4
GSM1256690	endometriosis	4
GSM1256691	endometriosis	4
GSM1256692	endometriosis	4
GSM1256693	endometriosis	4
GSM1256694	endometriosis	4
GSM1256695	endometriosis	4
GSM1256696	endometriosis	4
GSM1256697	endometriosis	4
GSM1256698	endometriosis	4
GSM1256699	endometriosis	4
GSM1256700	endometriosis	4
GSM1256701	endometriosis	4
GSM1256702	endometriosis	4
GSM1256703	endometriosis	4
GSM1256704	endometriosis	4
GSM1256705	endometriosis	4
GSM1256706	endometriosis	4
GSM1256707	endometriosis	4
GSM1256708	endometriosis	4
GSM1256709	endometriosis	4
GSM1256710	endometriosis	4
GSM1256711	endometriosis	4
GSM1256712	endometriosis	4
GSM1256713	endometriosis	4
GSM1256714	endometriosis	4
GSM1256715	endometriosis	4
GSM1256716	endometriosis	4
GSM1256717	endometriosis	4
GSM1256718	endometriosis	4
GSM1256719	endometriosis	4
GSM1256720	normal	4
GSM1256721	normal	4
GSM1256722	normal	4
GSM1256723	normal	4
GSM1256724	normal	4
GSM1256725	normal	4
GSM1256726	normal	4
GSM1256727	normal	4
GSM1256728	normal	4
GSM1256729	normal	4
GSM1256730	normal	4
GSM1256731	normal	4
GSM1256732	normal	4
GSM1256733	normal	4
GSM1256734	normal	4
GSM1256766	normal	4
GSM1256767	normal	4
GSM1256768	normal	4
GSM1256769	normal	4
GSM1256770	normal	4
GSM1256771	normal	4
GSM1256772	normal	4
GSM1256774	endometriosis	4
GSM1256776	endometriosis	4
GSM1256777	endometriosis	4
GSM1256778	endometriosis	4
GSM1256779	endometriosis	4
GSM1256780	endometriosis	4
GSM1256781	endometriosis	4
GSM1256782	endometriosis	4
GSM1256784	normal	4
GSM1256785	normal	4
GSM1256786	normal	4
GSM1256787	normal	4
GSM1256788	normal	4
GSM1256791	normal	4
GSM1256793	normal	4
GSM1256796	normal	4
GSM1256797	normal	4
GSM1256798	normal	4
GSM1256799	normal	4
GSM1256800	normal	4
