Hugo_Symbol	Entrez_Gene_Id	GTEX-ZLWG-1026-SM-4WWC4	GTEX-13OVJ-2326-SM-5IJGA	GTEX-14BIM-2226-SM-5SI8Y	GTEX-Q734-1626-SM-48U1B	GTEX-S7SF-0826-SM-4AD4W	GTEX-12WSD-2826-SM-59HKT	GTEX-145ME-1326-SM-5O98Q	GTEX-S341-1026-SM-4AD71	GTEX-P4PP-2026-SM-3P61N	GTEX-113JC-2226-SM-5EGJG
FAM208A	23272	2715.29	2192.72	3086.56	2888.33	2074.97	3125.08	2388.48	1791.53	3661.58	2231.58
RADIL	55698	517	914	884	361	326	708	235	226	1614	811
AP1M2	10053	4	2	2	6	19	4	5	23	66	3
TAF1	6872	2673	3581	2568	2741	1711.85	3010.35	2272	1632.98	5170.2	2064.3
SIGLEC5	8778	9.49	18.69	11.83	17.94	47.18	3.9	9.26	0	6.37	9.34
KLF1	10661	1	7	1	0	0	0	2	0	0	1
USHBP1	83878	334	529	920.62	924	1120	730	457	705	528	205
LRRC38	126755	2	0	2	0	3	0	0	11	2	3
NKPD1	284353	10	9	4.76	22.4	6.32	10	12	6	23	7.12
SLC26A8	116369	8	8	12	4	6	6	2	4	4	17
SGCA	6442	1264	479	936	1137	542	1081	2106	1430	84	341
PGF	5228	642	289	534	252	422	226	309	238	61	141
OR5H14	403273	0	0	0	0	2	0	0	0	0	0
KLHL1	57626	0	0	0	0	0	0	0	0	0	1
TUBA3C	7278	1.09	12.23	1	2	2	2	1.07	3	0	2
UFM1	51569	2299	5104	2983	1572	1596	2792	2001	1502	4638	2096
TNPO2	30000	3618	4702	3708	3725	2841	4464	3812	2398	8606.14	3371
NACA2	342538	0	5	6	0	5	3.89	0	3	5.28	0
TMEM256	254863	417.73	961.97	652.42	539.62	483.22	389.87	369.91	322.58	689.36	324.99
IFI35	3430	672	739	489	553	528	759	470	528	701	573
AP001362.1	0	0	0	13.58	18.68	5.89	0	34.61	0	0	4.04
KLF16	83855	336.12	142.76	110.98	463.54	322.48	247.14	422.39	648.7	318.8	217.36
AC026703.1	0	56.06	57.99	564.36	282.34	201.1	284.25	112.2	115.96	218.76	91.33
TCF21	6943	466.45	370.81	539.45	362.8	399	764.43	375.57	371.82	101	1034
GNL2	29889	1724	2307	1348	1085	946	1253	1470	930	1631	924
OR11G2	390439	0	0	0	0	0	0	0	0	0	0
SLC5A7	60482	26	17	39	16	13	50	11	2	0	214
OR5A2	219981	0	0	0	0	0	0	0	0	0	0
MTRNR2L1	100462977	0	0	0	0	0	0	0	0	0	0
SORCS1	114815	92	214	141	168	107	129	42	10	4321.05	224
NMS	129521	0	0	0	0	0	0	0	0	0	0
ELAVL3	1995	6	0	5	20	7	2	3	1	27	4
RAB11FIP4	84440	171	175	176	57	67	167	35	19	439	137
UBR5	51366	5950.37	8545.16	5570.53	4996.76	3839.3	6390.86	4927.77	2971.19	8065.13	5229.3
NOTCH2	4853	7022.11	5790	4655.39	4483.71	3904.36	6827.56	6742.07	4438.61	7573.3	5814.96
LL22NC03-63E9.3	0	0	0	0	0	0	0	0	0	2	0
LAMTOR2	28956	451	349	398	546	477	371	410	458	628	301
TIMP4	7079	649	162	256	26	152	58	155	442	38	89
CASP16	197350	3	9	6	4	5	6	0	3	23	2
8-Sep	23176	2043.64	3264.41	4268.71	2168.34	1796.16	2565.39	1906.38	1650.12	2849.96	2432.62
GGT7	2686	1335	2214	1659	1464	771	2325	991	715	3533	1348
APEH	327	1569	1458	1118	1343	1530	1376	1520	1337	2821	890
ASXL1	171023	4729	10779	5868	5010.75	4571	10825	5666	3009	7441	7128
GNG10	2790	1084.55	1042.35	1068.26	555.04	759.94	874.23	869.85	1192.38	744.52	875.06
GORASP1	64689	2445.24	2754.26	2658	2204.94	2666.41	2008.36	2935.91	1883.66	3219.25	1531.83
SPERT	220082	0	2	0	3	0	0	0	0	0	0
STAU1	6780	2835	3094	3022	2661	2939	2539	3546	2487	3204	2448
KCNS1	3787	2	0	0	0	1	3	1	3	0	2
YTHDC1	91746	3753	7011	5792	4568	2681	5080	3416	1821	8131	4132
GNA12	2768	4365	2800	3013	3431	2117	3028	3164	2725	4752	2765
AKR1E2	83592	55	82	62	62	66	76	50	70	100	78
LDLR	3949	4758	1544	820	1393	637	982	2363	530	4466	1384
RNF169	254225	1039.43	1280.85	1997.47	1247.11	1088.16	1484.97	1160.73	711.16	1344.42	930.09
CFHR2	3080	0	0	0	0	3	0	0	0	2	0
KRT9	3857	5	3	0	0	0	0	11	13	0	0
ORMDL2	29095	586.28	539.34	469.15	373.04	488.92	396.98	380.96	532.34	432.97	274.18
OR51B5	282763	2	3	0	0	3	0	2	0	3	3
SPINT4	391253	0	0	0	0	0	0	0	0	0	0
RAC1	5879	7096.12	8020.77	8479.89	5936.84	7706.93	6624.92	7625.56	7269.44	6351.35	6525.53
CIZ1	25792	4100	5246	4745	5397	3299	6030	4250	3332	8963.59	4199
LYST	1130	2030.63	2221.62	2846.95	1325.16	1470.34	2091.81	1536.01	1529.59	2538.67	1809.06
SHISA9	729993	6	6	15	0	6	3	3	3	6	14
B4GALT6	9331	76	106	173	100	112	113	237	57	179	168
HSFY2	86614	0	0	0	0	1	0.5	0	0	0	0
AUH	549	629	703	780	463	381	621	452	242	1069	512
NT5DC1	221294	891	435	770.66	453.6	509	792.17	557.14	738	932	453
AP001421.1	0	0.11	0	0	0	0.4	1.04	0	0	0	0
SERINC4	619189	28.71	34.73	19.25	48.97	12.79	5.92	16.04	35.17	69.54	28.68
ATP13A2	23400	1140	835	1223	1317.99	910	1133	811	901	1669.86	742.97
CTRL	1506	27.62	39.92	20.38	50.08	26.15	69.66	29.5	26.66	119.41	57.24
MALSU1	115416	552.88	534	400	456	333.99	368	459	393	669.98	325.97
HRH4	59340	4	0	18	20	2	6	3	5	4	12
P2RY11	5032	239.25	242.26	241.23	267.1	229.25	327.81	252.61	161.64	473.19	231.56
INF2	64423	3565	4622	4236	4599	3674	4730	2633	3336	3445	3332
NEDD4L	23327	572.32	472	380	639.49	306	799	655	802.94	572	424
