Hugo_Symbol	Entrez_Gene_Id	GTEX-T6MO-1526-SM-4DM57	GTEX-11P81-1626-SM-5BC52	GTEX-13N11-1126-SM-5KM41	GTEX-RTLS-2426-SM-46MUO	GTEX-ZP4G-0726-SM-4WWF2	GTEX-WEY5-0726-SM-4LMID	GTEX-T2IS-2226-SM-4DM65	GTEX-PX3G-2026-SM-48U1H	GTEX-U3ZN-0726-SM-4DXT5	GTEX-XUW1-0226-SM-4BOOS	GTEX-PWOO-1526-SM-48TCK	GTEX-Y3IK-2126-SM-4YCDS	GTEX-RU72-2626-SM-4TT75	GTEX-W5WG-1326-SM-4LMI9	GTEX-11GSP-2426-SM-5N9BD
FAM208A	23272	2523.95	2703.47	2036.34	2204.85	3770.08	2313.24	1588.29	2702.78	1974	1861.27	2184.33	2805.95	3350.35	2302.09	2581.71
RADIL	55698	320	183	209	577	384	199	286	345	360	341	374	340	981	260	386
AP1M2	10053	34	8	24	2	36	12	7	9	33	10	4	7	27	4	0
TAF1	6872	1776.27	2509.46	1957	2632.47	3630.95	2132	1417	3048	1752	1866	1854	3132.99	2413	1863	2295
SIGLEC5	8778	3.83	15.98	31	5.53	50.39	33.79	5.7	2.51	4.06	9.01	74.94	13.27	35.83	1.18	10.67
KLF1	10661	0	0	1	1	0	1	0	0	1	0	1	3	0	0	1
USHBP1	83878	440	430	1165	723	727	504	589	952	399	602	460	875	688	1110	582
LRRC38	126755	0	4	6	0	0	8	8	2	2	0	2	0	2	1	0
NKPD1	284353	7	6.15	3.59	18.24	9	4.69	2.16	21	12.42	7	1	10.88	25.75	5	16
SLC26A8	116369	5	13	5	0	7	1	4	7	13	4	17	5	7	1	3
SGCA	6442	1142	849	1253	562	2169	2400	1628	2261	1250	487	860	951	118	893	983
PGF	5228	290	107	437	179	454	505	935	607	162	318	629	497	186	413	869
OR5H14	403273	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
KLHL1	57626	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TUBA3C	7278	0	2	0	0	3.04	0	3	5	2.47	0	0	1.07	0	0	0
UFM1	51569	1746	2638	1803	2539	3107	1910	1502	1973.02	1540	1572	2223	2154	3581.68	1735	2618
TNPO2	30000	2854	2882	3041	4094	4307	3549	3416	5908	2618	3616	3269	4596	5036	3329	3988
NACA2	342538	6	4.49	0	4	0	0	4	0	0	0	0	4	5	0	0
TMEM256	254863	460.84	258.23	339.53	604.46	607.97	368.6	479.1	381.99	278.87	444.09	482.04	613.34	697.6	586.51	549.76
IFI35	3430	433	286	787	503	1121	524	479	536	443	430	726	1080	669	504	578
AP001362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	89.05	0	38.16
KLF16	83855	191.31	160.74	429.91	106.91	610.64	298.52	859.08	883.53	313.43	247.39	395.92	515.55	363.4	216.82	233.63
AC026703.1	0	134.35	46.51	174.8	82.09	49.84	77.09	110.31	303.78	155.64	142.86	119.13	330.31	248.9	282.33	407.58
TCF21	6943	424	610.62	439.42	473.55	496	660	1015	628.97	149	238	836	479.01	217	188.04	897.45
GNL2	29889	892	1568	1399	797	2168	1388	1328	1998	965	1067	1237	1458	1349	1044	1319
OR11G2	390439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A7	60482	6	11	1	63	15	21	28	32	0	2	25	1	8	3	11
OR5A2	219981	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MTRNR2L1	100462977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORCS1	114815	135	112	29	274	86	108	60	118	70	173	214	50	684	217	172
NMS	129521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAVL3	1995	3	13	20	5	2	2	14	21	3	2	2	7	14	5	8
RAB11FIP4	84440	45	53	59	238	71	58	21	102	54	109	38	106	250	82	129
UBR5	51366	4317.84	5091.45	4477.05	4751.85	7150.39	4302.57	2394.35	6191.18	3543.75	3740.87	3621.52	5818.4	4865.76	3359.71	5470.05
NOTCH2	4853	6846.35	6991.54	6533.24	4276.52	11489.77	7377.79	3918.77	8942.42	6316.26	3750.38	5262.27	8404.09	4478.8	4774.98	5394.55
LL22NC03-63E9.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMTOR2	28956	430	392	794	246	813	490	565	636	390	360	772	559	458	371	358
TIMP4	7079	318	21	159	204	900	396	86	60	18	92	449	47	17	313	36
CASP16	197350	3	0	6	9	5	17	2	2	3	4	3	21	10	6	4
8-Sep	23176	2207.63	1815.98	1913.9	2606.61	2915.63	1923.61	1414.32	1949.36	1034.3	1865.21	2227.2	2382.07	1780.43	1953.79	4324.12
GGT7	2686	938	942	1144	2097	1656	968	802	1029	726	1042	1071	1669	2143	1164	2110
APEH	327	1342	1348	2035	1286	2681	1541	1337	2120	1371	1314	1638	1804	1616	1130	1169
ASXL1	171023	3769	4839	5664	5885	5579	2555	2506	5884.02	3617	3698	3925	5222	7171	3225	6675
GNG10	2790	945.2	974.74	1036.21	525.46	1901.38	954.47	739.15	1066.85	696.23	482.06	1184.51	1049.13	915.09	850.69	1175.93
GORASP1	64689	2017	1803	2519.21	2033	3523.35	2525.26	2365	2972.33	1910	2269	2589	2605	2768	2457.42	2011.49
SPERT	220082	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0
STAU1	6780	3176	3293	3147	1675	5310	3535	2590	5145	2938	2167	3257	2672	3292	2340	3048
KCNS1	3787	1	0	6	2	1	2	2	1	1	0	0	0	0	0	0
YTHDC1	91746	2730	4212	2914	4732.98	4770	2524	1965	4727	2713	2428	2351	4124	5519	3106	4845
GNA12	2768	3372	3294	2718	2140	5905	3381	2726	3925	2701	2364	3370	3502	3297	2230	2741
AKR1E2	83592	48	51	65	105	53	44	37	89	35	48	48	83	56	60	62
LDLR	3949	925	657	1236	372	3310	3144	1334	983	813	1531	5719	2024	1815	977	3757
RNF169	254225	871.17	1704.28	1140.11	1344.36	1410.04	762.43	765.42	1245.72	772.52	606.82	1005.4	1502.23	1205.17	652.47	907.32
CFHR2	3080	0	0	3	0	1	0	0	3	0	0	0	0	0	0	1
KRT9	3857	0	1	0	0	7	0	15	0	0	2	0	10	0	0	0
