Hugo_Symbol	2989R	2424R	4069R	3784R	3653R	3196R	1351R	4807R	4932R	4316R	1476R	3976R	3036R	4037R	3147R	4769R	4236R	3037R	3504R	4586R
TSPAN6	4	1	9	0	2	5	4	0	0	3	1	3	2	1	7	3	4	3	1	9
TNMD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	1486	769	1840	1055	615	1221	1005	892	1285	1507	1750	1537	907	553	1427	435	1523	1339	1133	994
SCYL3	515	503	358	272	510	218	420	321	1012	653	538	233	249	148	450	293	335	243	206	440
C1orf112	153	46	190	16	117	49	146	158	99	270	137	45	34	68	272	54	73	147	18	201
FGR	72237	82395	45120	47594	38451	33508	73446	33990	80386	65519	50110	64145	30991	21425	31180	45963	51559	40689	45021	37236
CFH	90	38	55	10	25	59	14	38	123	121	98	9	18	43	55	6	118	63	65	46
FUCA2	410	117	976	135	603	581	1388	458	393	519	629	567	236	327	973	140	480	1408	359	431
GCLC	636	66	704	553	767	306	1199	262	395	1340	480	550	362	281	1120	109	179	776	130	748
NFYA	2063	2530	2732	1319	3449	2843	2039	3367	4427	2102	2395	2139	1334	1090	768	2205	2594	1372	3711	2216
STPG1	92	22	67	9	125	53	162	62	90	148	20	18	9	31	72	36	19	81	10	112
NIPAL3	592	195	566	113	750	235	679	432	386	1131	392	157	187	163	422	230	170	295	126	579
LAS1L	754	191	1945	523	702	901	1407	629	430	1088	595	1000	421	598	967	226	499	1237	328	992
ENPP4	1635	977	1971	245	1169	440	1502	1358	947	4382	737	1350	94	1451	3102	695	1007	3926	79	1372
SEMA3F	9	1	129	1799	12	495	4	1	4	6	162	326	176	15	25	2	26	53	63	21
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKIB1	698	488	1232	234	1249	671	1539	654	1394	1496	964	456	621	315	598	370	586	516	575	638
CYP51A1	16	10	112	24	71	71	66	29	40	75	47	84	14	101	39	23	41	155	35	20
KRIT1	229	89	281	26	219	77	262	155	190	288	221	131	137	78	315	54	79	110	69	285
RAD52	298	232	298	49	462	118	351	373	619	586	167	100	116	91	116	142	95	201	128	344
MYH16	1	2	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0
BAD	135	81	266	378	194	189	161	313	272	146	269	242	124	175	211	53	263	421	240	102
LAP3	927	307	1897	3689	652	2885	3577	735	439	1198	2462	1737	1073	842	2696	396	1155	1477	620	685
CD99	1617	267	11394	1159	1759	9186	9736	2882	3837	2249	4562	5508	3533	1761	4477	624	1195	6982	4021	987
CD99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HS3ST1	2	2	1	57	1	165	3	0	6	2	7	1	596	1	2	0	6	2	13	4
AOC1	456	3307	140	63	23	53	964	2	393	250	123	258	42	470	22	312	453	94	3006	118
WNT16	3	4	2	22	2	9	0	0	7	3	2	1	2	0	2	0	2	1	20	0
HECW1	0	0	2	0	1	1	0	1	1	1	2	2	1	1	1	2	2	0	1	0
MAD1L1	21	56	21	54	14	35	44	12	67	26	17	36	23	28	27	6	30	63	15	10
LASP1	28658	32484	23820	22065	17877	30754	22656	23551	29627	31046	30474	35434	27556	24854	19201	23134	35963	22763	35805	19498
SNX11	1550	1435	1094	559	719	798	1087	944	2154	2279	854	1153	490	736	696	845	1126	1405	967	882
TMEM176A	310	111	501	275	13	856	294	32	424	4	82	1911	49	509	24	133	436	148	1297	15
M6PR	2089	614	3592	833	2570	1107	4454	1245	2807	4052	2869	1996	1394	1052	4074	523	1381	1980	1028	1595
KLHL13	35	3	88	2	19	5	89	21	12	79	3	4	2	17	38	20	7	7	2	46
CYP26B1	1	0	129	376	34	3	0	0	3	0	3	36	0	149	0	97	2	0	2	9
ICA1	1165	452	2414	48	1821	175	1419	1256	1074	1783	964	226	65	337	2471	340	478	1922	105	1080
DBNDD1	6	5	3	8	20	26	13	6	4	2	3	9	1	11	0	4	11	30	5	1
ALS2	403	179	762	304	682	324	961	488	938	1479	886	361	211	228	505	136	384	421	354	696
CASP10	1354	982	2670	607	1368	499	2119	1799	933	4004	1722	2369	268	959	1966	579	1007	1505	384	1443
CFLAR	23325	52845	15778	9490	22861	17346	24353	25033	67332	23669	25171	15617	22359	10430	12985	30513	31104	13362	28500	15168
TFPI	46	7	292	30	76	26	115	84	69	215	63	26	160	40	923	11	34	129	4	137
NDUFAF7	1270	700	477	414	465	353	691	346	595	565	765	560	284	497	438	492	518	433	415	929
RBM5	2969	4368	4996	2223	2225	2863	3795	2462	4752	4472	4480	4957	2056	3033	2391	1704	3478	4292	2595	3168
MTMR7	51	66	143	135	101	91	129	118	43	102	251	135	64	86	158	18	81	228	40	39
SLC7A2	7	0	0	2	5	0	0	0	2	23	0	0	0	1	0	3	5	27	0	10
ARF5	6497	3840	9349	1943	5043	5726	6866	5293	7846	4942	5635	5924	3360	1595	6218	1942	4615	5430	7320	3477
SARM1	75	25	412	197	132	204	249	172	88	138	159	171	148	72	248	22	69	91	72	91
POLDIP2	1920	900	2691	712	1516	1245	2177	1427	1818	2196	1399	1794	808	594	2939	586	1510	2042	1330	1393
PLXND1	1573	233	6267	1295	559	4787	7403	1377	358	1512	2618	7186	1688	1376	1877	979	2111	1706	3153	2177
AK2	5771	1289	5589	880	4446	871	6029	3025	1591	8356	2500	1313	1306	1522	5541	1500	1839	2104	946	4334
CD38	986	424	1571	250	804	159	1597	743	208	1869	1740	224	275	157	3537	230	425	832	290	845
FKBP4	732	101	640	80	381	185	737	301	516	791	129	167	99	246	223	302	333	436	146	1320
KDM1A	802	122	2599	764	1516	926	1934	818	759	1707	1189	1281	467	686	1102	256	593	2558	408	1438
RBM6	5035	5766	3931	1139	6893	1887	5302	2608	5932	4964	2274	2464	1139	1360	1989	1130	1487	2215	1839	5958
CAMKK1	977	2649	1155	2997	1206	2022	759	1179	289	1151	4159	5076	3602	1968	756	1121	3070	2060	2139	619
RECQL	464	271	522	239	305	372	651	285	822	666	322	570	249	199	544	208	216	508	201	370
VPS50	225	67	198	124	282	116	352	145	188	463	119	98	53	76	144	56	92	152	41	310
HSPB6	11	1	22	0	10	2	1	2	5	6	0	0	1	0	13	0	0	5	1	7
ARHGAP33	1738	760	4188	167	2739	316	1616	2462	389	1507	427	1529	175	602	2731	419	945	2117	241	1940
NDUFAB1	371	72	338	145	178	158	348	110	195	564	159	218	95	135	313	87	266	391	119	324
