sample_name	condition	project
2989R	Tumor	OHSU-CNL
2424R	Tumor	OHSU-CNL
4069R	Tumor	OHSU-CNL
3784R	Tumor	OHSU-CNL
3653R	Tumor	OHSU-CNL
3196R	Tumor	OHSU-CNL
1351R	Tumor	OHSU-CNL
4807R	Tumor	OHSU-CNL
4932R	Tumor	OHSU-CNL
4316R	Tumor	OHSU-CNL
1476R	Tumor	OHSU-CNL
3976R	Tumor	OHSU-CNL
3036R	Tumor	OHSU-CNL
4037R	Tumor	OHSU-CNL
3147R	Tumor	OHSU-CNL
4769R	Tumor	OHSU-CNL
4236R	Tumor	OHSU-CNL
3037R	Tumor	OHSU-CNL
3504R	Tumor	OHSU-CNL
4586R	Tumor	OHSU-CNL
4662R	Tumor	OHSU-CNL
3657R	Tumor	OHSU-CNL
1735R	Tumor	OHSU-CNL
1591R	Tumor	OHSU-CNL
3069R	Tumor	OHSU-CNL
4471R	Tumor	OHSU-CNL
3961R	Tumor	OHSU-CNL
3530R	Tumor	OHSU-CNL
4244R	Tumor	OHSU-CNL
3549R	Tumor	OHSU-CNL
2645R	Tumor	OHSU-CNL
2149R	Tumor	OHSU-CNL
1806R	Tumor	OHSU-CNL
1517R	Tumor	OHSU-CNL
2990R	Tumor	OHSU-CNL
1962R	Tumor	OHSU-CNL
2462R	Tumor	OHSU-CNL
2009R	Tumor	OHSU-CNL
2459R	Tumor	OHSU-CNL
2386R	Tumor	OHSU-CNL
3814R	Tumor	OHSU-CNL
2270R	Tumor	OHSU-CNL
2694R	Tumor	OHSU-CNL
1661R	Tumor	OHSU-CNL
3993R	Tumor	OHSU-CNL
4191R	Normal	OHSU-CNL
1285R	Tumor	OHSU-CNL
1622R	Tumor	OHSU-CNL
2860R	Tumor	OHSU-CNL
1114R	Tumor	OHSU-CNL
1010R	Tumor	OHSU-CNL
2896R	Tumor	OHSU-CNL
3711R	Tumor	OHSU-CNL
1814R	Normal	OHSU-CNL
1724R	Tumor	OHSU-CNL
2229R	Tumor	OHSU-CNL
4613R	Tumor	OHSU-CNL
3627R	Normal	OHSU-CNL
1915R	Tumor	OHSU-CNL
1567R	Tumor	OHSU-CNL
3931R	Tumor	OHSU-CNL
1981R	Tumor	OHSU-CNL
4301R	Tumor	OHSU-CNL
2595R	Tumor	OHSU-CNL
4167R	Tumor	OHSU-CNL
1160R	Tumor	OHSU-CNL
2421R	Tumor	OHSU-CNL
4732R	Tumor	OHSU-CNL
3821R	Tumor	OHSU-CNL
4291R	Tumor	OHSU-CNL
3457R	Tumor	OHSU-CNL
3079R	Tumor	OHSU-CNL
4677R	Tumor	OHSU-CNL
3597R	Tumor	OHSU-CNL
3273R	Tumor	OHSU-CNL
2500R	Tumor	OHSU-CNL
2648R	Tumor	OHSU-CNL
2383R	Normal	OHSU-CNL
4457R	Tumor	OHSU-CNL
2474R	Tumor	OHSU-CNL
