ensembl_gene,entrezgene,symbol,biotype
ENSG00000000003,7105,TSPAN6,protein_coding
ENSG00000000005,64102,TNMD,protein_coding
ENSG00000000419,8813,DPM1,protein_coding
ENSG00000000457,57147,SCYL3,protein_coding
ENSG00000000938,2268,FGR,protein_coding
ENSG00000000971,3075,CFH,protein_coding
ENSG00000001036,2519,FUCA2,protein_coding
ENSG00000001084,2729,GCLC,protein_coding
ENSG00000001167,4800,NFYA,protein_coding
ENSG00000001460,90529,STPG1,protein_coding
ENSG00000001461,57185,NIPAL3,protein_coding
ENSG00000001497,81887,LAS1L,protein_coding
ENSG00000001561,22875,ENPP4,protein_coding
ENSG00000001617,6405,SEMA3F,protein_coding
ENSG00000001626,1080,CFTR,protein_coding
ENSG00000001629,54467,ANKIB1,protein_coding
ENSG00000001630,1595,CYP51A1,protein_coding
ENSG00000001631,889,KRIT1,protein_coding
ENSG00000002016,5893,RAD52,protein_coding
ENSG00000002330,572,BAD,protein_coding
ENSG00000002549,51056,LAP3,protein_coding
ENSG00000002586,4267,CD99,protein_coding
ENSG00000002587,9957,HS3ST1,protein_coding
ENSG00000002726,26,AOC1,protein_coding
ENSG00000002745,51384,WNT16,protein_coding
ENSG00000002746,23072,HECW1,protein_coding
ENSG00000002822,8379,MAD1L1,protein_coding
ENSG00000002834,3927,LASP1,protein_coding
ENSG00000002919,29916,SNX11,protein_coding
ENSG00000002933,55365,TMEM176A,protein_coding
ENSG00000003056,4074,M6PR,protein_coding
ENSG00000003096,90293,KLHL13,protein_coding
ENSG00000003137,56603,CYP26B1,protein_coding
ENSG00000003147,3382,ICA1,protein_coding
ENSG00000003249,79007,DBNDD1,protein_coding
ENSG00000003393,57679,ALS2,protein_coding
ENSG00000003400,843,CASP10,protein_coding
ENSG00000003402,8837,CFLAR,protein_coding
ENSG00000003436,7035,TFPI,protein_coding
ENSG00000003509,55471,NDUFAF7,protein_coding
ENSG00000003756,10181,RBM5,protein_coding
ENSG00000003987,9108,MTMR7,protein_coding
ENSG00000003989,6542,SLC7A2,protein_coding
ENSG00000004059,381,ARF5,protein_coding
ENSG00000004139,23098,SARM1,protein_coding
ENSG00000004142,26073,POLDIP2,protein_coding
ENSG00000004399,23129,PLXND1,protein_coding
ENSG00000004455,204,AK2,protein_coding
