ensembl_gene,entrezgene,symbol,biotype
ENSMUSG00000000001,14679,Gnai3,protein_coding
ENSMUSG00000000003,54192,Pbsn,protein_coding
ENSMUSG00000000028,12544,Cdc45,protein_coding
ENSMUSG00000000031,14955,H19,lncRNA
ENSMUSG00000000037,107815,Scml2,protein_coding
ENSMUSG00000000049,11818,Apoh,protein_coding
ENSMUSG00000000056,67608,Narf,protein_coding
ENSMUSG00000000058,12390,Cav2,protein_coding
ENSMUSG00000000078,23849,Klf6,protein_coding
ENSMUSG00000000085,29871,Scmh1,protein_coding
ENSMUSG00000000088,12858,Cox5a,protein_coding
ENSMUSG00000000093,21385,Tbx2,protein_coding
ENSMUSG00000000094,21387,Tbx4,protein_coding
ENSMUSG00000000103,22768,Zfy2,protein_coding
ENSMUSG00000000120,18053,Ngfr,protein_coding
ENSMUSG00000000125,22415,Wnt3,protein_coding
ENSMUSG00000000126,216795,Wnt9a,protein_coding
ENSMUSG00000000127,14158,Fer,protein_coding
ENSMUSG00000000131,74204,Xpo6,protein_coding
ENSMUSG00000000134,209446,Tfe3,protein_coding
ENSMUSG00000000142,12006,Axin2,protein_coding
ENSMUSG00000000148,231841,Brat1,protein_coding
ENSMUSG00000000149,14673,Gna12,protein_coding
ENSMUSG00000000154,18400,Slc22a18,protein_coding
ENSMUSG00000000157,16415,Itgb2l,protein_coding
ENSMUSG00000000159,72058,Igsf5,protein_coding
ENSMUSG00000000167,72614,Pih1d2,protein_coding
ENSMUSG00000000168,235339,Dlat,protein_coding
ENSMUSG00000000171,66925,Sdhd,protein_coding
ENSMUSG00000000182,64654,Fgf23,protein_coding
ENSMUSG00000000183,14177,Fgf6,protein_coding
ENSMUSG00000000184,12444,Ccnd2,protein_coding
ENSMUSG00000000194,277463,Gpr107,protein_coding
ENSMUSG00000000197,338370,Nalcn,protein_coding
ENSMUSG00000000202,72014,Btbd17,protein_coding
ENSMUSG00000000204,20558,Slfn4,protein_coding
ENSMUSG00000000214,21823,Th,protein_coding
ENSMUSG00000000215,16334,Ins2,protein_coding
ENSMUSG00000000216,20278,Scnn1g,protein_coding
ENSMUSG00000000223,13497,Drp2,protein_coding
ENSMUSG00000000244,27027,Tspan32,protein_coding
ENSMUSG00000000247,16870,Lhx2,protein_coding
ENSMUSG00000000248,70809,Clec2g,protein_coding
ENSMUSG00000000253,66355,Gmpr,protein_coding
ENSMUSG00000000263,14654,Glra1,protein_coding
ENSMUSG00000000266,23947,Mid2,protein_coding
ENSMUSG00000000275,217069,Trim25,protein_coding
ENSMUSG00000000276,56077,Dgke,protein_coding
ENSMUSG00000000278,74617,Scpep1,protein_coding
ENSMUSG00000000282,17428,Mnt,protein_coding
ENSMUSG00000000290,16414,Itgb2,protein_coding
